priority_rank,content_id,client_id,priority_score,recommended_action,reason_codes,search_volume,impressions_90d,clicks_90d,trend_pct,days_since_last_update,word_count,content_age_days
6821,content_e0a40f21b886,client_6208ef0f77,0.868236270625496,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",0.0,138,0,-72.6,104,5452.0,236
6822,content_3643544dc1fc,client_6208ef0f77,0.868228324227709,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",10.0,105,0,-35.7,104,5287.0,236
6823,content_51266ccb2d43,client_4ec9599fc2,0.8682127906146724,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,518,0,-100.0,20,,445
6824,content_6171317cb568,client_2c624232cd,0.8681201168500079,Monitor,DECLINING,0.0,125,0,-78.6,20,,517
6825,content_5c23d1b0db77,client_a88a7902cb,0.8680799111655477,Monitor,DECLINING,0.0,82,0,-86.0,28,3758.0,148
6826,content_d4ffb2d1438b,client_d029fa3a95,0.8680739725349016,Monitor,DECLINING,0.0,43,0,-85.7,8,2309.0,148
6827,content_1044412fa6de,client_434c9b5ae5,0.8680562550445159,Monitor,REVIEW,10.0,710,0,100.8,20,2754.0,113
6828,content_f72a08df7927,client_f369cb89fc,0.868027823353248,Monitor,DECLINING,0.0,36,0,-68.4,20,2729.0,117
6829,content_e6a4e9be058a,client_f74efabef1,0.8680278128870522,Monitor,DECLINING,0.0,129,0,-87.7,8,4614.0,140
6830,content_bc94c0502df9,client_3fdba35f04,0.8679922348850161,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",10.0,43,0,-100.0,104,1756.0,223
6831,content_ec010b308ac0,client_6208ef0f77,0.8679850018049379,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,3714,0,-67.7,104,7298.0,287
6832,content_d11dc11edcfb,client_19581e27de,0.8678812651046062,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",0.0,117,0,-85.7,104,,236
6833,content_fdf0cc8f39c7,client_d029fa3a95,0.8678563655582304,Monitor,DECLINING,0.0,57,0,-56.3,20,3164.0,221
6834,content_4315e2ea3148,client_f369cb89fc,0.8678531458731207,Monitor,DECLINING,0.0,52,0,-70.0,20,2475.0,138
6835,content_2c7d1dcb1a18,client_f369cb89fc,0.8678406034306296,Monitor,REVIEW,0.0,39,0,57.1,20,2690.0,117
6836,content_65018ca088a6,client_4ec9599fc2,0.8678345264435957,Monitor,DECLINING,,41,0,-75.0,20,1530.0,343
6837,content_97fd095ebfd1,client_8527a891e2,0.8677555215220343,Freshness review,STALE,0.0,39,0,45.5,104,1413.0,275
6838,content_2ac5b691fa27,client_4e07408562,0.8676948709862111,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",210.0,73,0,-57.1,104,,390
6839,content_ae80791f30c4,client_d029fa3a95,0.8676829044092658,Monitor,HIGH_DEMAND,170.0,106,0,7.8,20,3311.0,280
6840,content_2263258c1973,client_a88a7902cb,0.8676359242395191,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",70.0,200,0,-100.0,8,2903.0,98
6841,content_29a7e3c025d0,client_8722616204,0.8676331014911599,Monitor,DECLINING,10.0,96,0,-100.0,8,2947.0,96
6842,content_60ce8c1b4485,client_2c624232cd,0.8676262434626895,Monitor,REVIEW,0.0,69,0,21.4,22,,517
6843,content_2cb5e2e836e6,client_e629fa6598,0.8676009552256624,Monitor,DECLINING,10.0,156,0,-16.7,22,,494
6844,content_178b0367d8f4,client_434c9b5ae5,0.8675722374758302,Monitor,DECLINING,0.0,510,0,-75.3,89,2571.0,105
6845,content_eb4c8f7b7466,client_a88a7902cb,0.8674794483839198,Monitor,REVIEW,0.0,80,0,3800.0,28,3153.0,148
6846,content_f1b27ec1e379,client_4ec9599fc2,0.8674422588582975,Monitor,DECLINING,,34,0,-47.4,20,1680.0,333
6847,content_a34b2f38e9fe,client_19581e27de,0.8674387637970179,Monitor,HIGH_DEMAND,50.0,132,0,12.1,22,,482
6848,content_d10b8ea1be67,client_f369cb89fc,0.8673676772183994,Monitor,DECLINING,0.0,247,0,-18.4,20,2716.0,117
6849,content_51a6d0ebbd87,client_98a3ab7c34,0.8673357306745169,Monitor,DECLINING,0.0,40,0,-65.0,1,2642.0,125
6850,content_f85630630136,client_bdd2d3af3a,0.8673132259635045,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,51,0,-83.3,20,3010.0,96
6851,content_baa90b7891b6,client_d029fa3a95,0.8673099842825372,Monitor,DECLINING,0.0,80,0,-16.2,20,4200.0,221
6852,content_2bc68225b848,client_3fdba35f04,0.8672978152363111,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,53,0,-100.0,104,1227.0,333
6853,content_172c5a7e928d,client_19581e27de,0.8672832046385255,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",30.0,78,0,15.4,104,,256
6854,content_3d38421c0edf,client_19581e27de,0.8672796855637656,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",30.0,87,0,-94.3,104,,256
6855,content_4086da47e0d7,client_f369cb89fc,0.8672752245116279,Monitor,DECLINING,10.0,41,0,-57.7,20,2560.0,151
6856,content_ab2e039f1f04,client_19581e27de,0.8672618143885693,Monitor,HIGH_DEMAND,4400.0,347,0,51.4,22,,417
6857,content_a615b8485af7,client_19581e27de,0.8672484888245542,Monitor,DECLINING,10.0,111,0,-63.3,20,,482
6858,content_df5cd60fe5be,client_6208ef0f77,0.8672437034815652,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",0.0,247,0,-64.8,104,6497.0,223
6859,content_6d0fa302a283,client_8527a891e2,0.8672146708062065,Monitor,REVIEW,0.0,22,0,233.3,20,1470.0,223
6860,content_96d0b45a2268,client_f369cb89fc,0.8671943523309693,Monitor,DECLINING,0.0,39,0,-58.3,20,2537.0,117
6861,content_eb1a9f0770b0,client_d029fa3a95,0.8671865513370698,Monitor,REVIEW,0.0,37,0,220.0,8,2681.0,140
6862,content_87bb23151f90,client_3fdba35f04,0.8671784498672713,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",0.0,45,0,-63.6,104,1587.0,155
6863,content_0a2d643bfd24,client_d4735e3a26,0.8671700954579644,Monitor,REVIEW,,78,1,42.1,20,,489
